% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.265	1	1	27	6	1	0	81	0	0	0
0.586	1	10	59	7	63	28	549	0	0	0
0.586	1	10	59	7	63	28	549	0	0	1
0.587	1	5	59	8	20	28	549	0	0	0
0.587	1	5	59	8	20	28	549	0	0	1
0.28	1	1	29	1	1	28	2196	0	0	0
0.281	1	1	29	2	1	28	2196	0	0	0
0.588	1	13	59	9	94	28	549	0	0	0
0.588	1	13	59	9	94	28	549	0	0	1
0.282	1	1	29	3	1	28	2196	0	0	0
0.283	1	1	29	4	1	28	2196	0	0	0
0.284	1	1	29	5	1	28	2196	0	0	0
0.285	1	1	29	6	1	28	2196	0	0	0
0.286	1	1	29	7	1	28	2196	0	0	0
0.589	1	3	59	10	96	28	549	0	0	0
0.589	1	3	59	10	96	28	549	0	0	1
0.287	1	1	29	8	1	28	2196	0	0	0
0.288	1	1	29	9	1	28	2196	0	0	0
0.289	1	1	29	10	1	28	2196	0	0	0
0.59	1	8	60	1	71	28	549	0	0	0
0.29	1	1	30	1	1	28	2196	0	0	0
0.59	1	8	60	1	71	28	549	0	0	1
0.291	1	1	30	2	1	28	2196	0	0	0
0.292	1	1	30	3	1	28	2196	0	0	0
0.293	1	1	30	4	1	28	2196	0	0	0
0.294	1	1	30	5	1	28	2196	0	0	0
0.591	1	7	60	2	29	28	549	0	0	0
0.295	1	1	30	6	1	28	2196	0	0	0
0.591	1	7	60	2	29	28	549	0	0	1
0.296	1	1	30	7	1	28	2196	0	0	0
0.592	1	4	60	3	78	28	549	0	0	0
0.592	1	4	60	3	78	28	549	0	0	1
0.297	1	1	30	8	1	28	2196	0	0	0
0.298	1	1	30	9	1	28	2196	0	0	0
0.299	1	1	30	10	1	28	2196	0	0	0
0.593	1	9	60	4	39	28	549	0	0	0
0.593	1	9	60	4	39	28	549	0	0	1
0.3	1	1	31	1	1	28	2196	0	0	0
0.301	1	1	31	2	1	28	2196	0	0	0
0.594	1	12	60	5	82	28	549	0	0	0
0.594	1	12	60	5	82	28	549	0	0	1
0.302	1	1	31	3	1	28	2196	0	0	0
0.303	1	1	31	4	1	28	2196	0	0	0
0.304	1	1	31	5	1	28	2196	0	0	0
0.595	1	2	60	6	50	28	549	0	0	0
0.595	1	2	60	6	50	28	549	0	0	1
0.305	1	1	31	6	1	28	2196	0	0	0
0.306	1	1	31	7	1	28	2196	0	0	0
0.596	1	14	60	7	1	28	549	0	0	0
0.596	1	14	60	7	1	28	549	0	0	1
0.307	1	1	31	8	1	28	2196	0	0	0
0.308	1	1	31	9	1	28	2196	0	0	0
0.597	1	1	60	8	87	28	549	0	0	0
0.309	1	1	31	10	1	28	2196	0	0	0
0.597	1	1	60	8	87	28	549	0	0	1
0.31	1	1	32	1	1	28	2196	0	0	0
0.598	1	11	60	9	58	28	549	0	0	0
0.598	1	11	60	9	58	28	549	0	0	1
0.311	1	1	32	2	1	28	2196	0	0	0
0.312	1	1	32	3	1	28	2196	0	0	0
0.313	1	1	32	4	1	28	2196	0	0	0
0.599	1	15	60	10	12	28	549	0	0	0
0.599	1	15	60	10	12	28	549	0	0	1
0.314	1	1	32	5	1	28	2196	0	0	0
0.315	1	1	32	6	1	28	2196	0	0	0
0.6	1	6	61	1	91	28	549	0	0	0
0.6	1	6	61	1	91	28	549	0	0	1
0.316	1	1	32	7	1	28	2196	0	0	0
0.317	1	1	32	8	1	28	2196	0	0	0
0.318	1	1	32	9	1	28	2196	0	0	0
0.601	1	10	61	2	63	28	549	0	0	0
0.601	1	10	61	2	63	28	549	0	0	1
0.319	1	1	32	10	1	28	2196	0	0	0
0.32	1	1	33	1	1	28	2196	0	0	0
0.602	1	5	61	3	20	28	549	0	0	0
0.602	1	5	61	3	20	28	549	0	0	1
0.321	1	1	33	2	1	28	2196	0	0	0
0.322	1	1	33	3	1	28	2196	0	0	0
0.603	1	13	61	4	94	28	549	0	0	0
0.603	1	13	61	4	94	28	549	0	0	1
0.323	1	1	33	4	1	28	2196	0	0	0
0.604	1	3	61	5	96	28	549	0	0	0
0.604	1	3	61	5	96	28	549	0	0	1
0.324	1	1	33	5	1	28	2196	0	0	0
0.325	1	1	33	6	1	28	2196	0	0	0
0.326	1	1	33	7	1	28	2196	0	0	0
0.605	1	8	61	6	71	28	549	0	0	0
0.605	1	8	61	6	71	28	549	0	0	1
0.327	1	1	33	8	1	28	2196	0	0	0
0.328	1	1	33	9	1	28	2196	0	0	0
0.606	1	7	61	7	29	28	549	0	0	0
0.606	1	7	61	7	29	28	549	0	0	1
0.329	1	1	33	10	1	28	2196	0	0	0
0.33	1	1	34	1	1	28	2196	0	0	0
0.607	1	4	61	8	78	28	549	0	0	0
0.607	1	4	61	8	78	28	549	0	0	1
0.331	1	1	34	2	1	28	2196	0	0	0
0.332	1	1	34	3	1	28	2196	0	0	0
0.608	1	9	61	9	39	28	549	0	0	0
0.608	1	9	61	9	39	28	549	0	0	1
0.333	1	1	34	4	1	28	2196	0	0	0
0.334	1	1	34	5	1	28	2196	0	0	0
0.335	1	1	34	6	1	28	2196	0	0	0
0.609	1	12	61	10	82	28	549	0	0	0
0.609	1	12	61	10	82	28	549	0	0	1
0.336	1	1	34	7	1	28	2196	0	0	0
0.337	1	1	34	8	1	28	2196	0	0	0
0.61	1	2	62	1	50	28	549	0	0	0
0.338	1	1	34	9	1	28	2196	0	0	0
0.61	1	2	62	1	50	28	549	0	0	1
0.339	1	1	34	10	1	28	2196	0	0	0
0.34	1	1	35	1	1	28	2196	0	0	0
0.341	1	1	35	2	1	28	2196	0	0	0
0.611	1	14	62	2	1	28	549	0	0	0
0.611	1	14	62	2	1	28	549	0	0	1
0.342	1	1	35	3	1	28	2196	0	0	0
0.343	1	1	35	4	1	28	2196	0	0	0
0.344	1	1	35	5	1	28	2196	0	0	0
0.612	1	1	62	3	87	28	549	0	0	0
0.612	1	1	62	3	87	28	549	0	0	1
0.345	1	1	35	6	1	28	2196	0	0	0
0.346	1	1	35	7	1	28	2196	0	0	0
0.347	1	1	35	8	1	28	2196	0	0	0
0.348	1	1	35	9	1	28	2196	0	0	0
0.613	1	11	62	4	58	28	549	0	0	0
0.613	1	11	62	4	58	28	549	0	0	1
0.349	1	1	35	10	1	28	2196	0	0	0
0.35	1	1	36	1	1	28	2196	0	0	0
0.614	1	15	62	5	12	28	549	0	0	0
0.351	1	1	36	2	1	28	2196	0	0	0
0.614	1	15	62	5	12	28	549	0	0	1
0.352	1	1	36	3	1	28	2196	0	0	0
0.353	1	1	36	4	1	28	2196	0	0	0
0.354	1	1	36	5	1	28	2196	0	0	0
0.615	1	6	62	6	91	28	549	0	0	0
0.615	1	6	62	6	91	28	549	0	0	1
0.355	1	1	36	6	1	28	2196	0	0	0
0.356	1	1	36	7	1	28	2196	0	0	0
0.616	1	10	62	7	63	28	549	0	0	0
0.616	1	10	62	7	63	28	549	0	0	1
0.357	1	1	36	8	1	28	2196	0	0	0
0.358	1	1	36	9	1	28	2196	0	0	0
0.617	1	5	62	8	20	28	549	0	0	0
0.359	1	1	36	10	1	28	2196	0	0	0
0.617	1	5	62	8	20	28	549	0	0	1
0.36	1	1	37	1	1	28	2196	0	0	0
0.618	1	13	62	9	94	28	549	0	0	0
0.361	1	1	37	2	1	28	2196	0	0	0
0.618	1	13	62	9	94	28	549	0	0	1
0.362	1	1	37	3	1	28	2196	0	0	0
0.363	1	1	37	4	1	28	2196	0	0	0
0.364	1	1	37	5	1	28	2196	0	0	0
0.619	1	3	62	10	96	28	549	0	0	0
0.619	1	3	62	10	96	28	549	0	0	1
0.365	1	1	37	6	1	28	2196	0	0	0
0.366	1	1	37	7	1	28	2196	0	0	0
0.62	1	8	63	1	71	28	549	0	0	0
0.62	1	8	63	1	71	28	549	0	0	1
0.367	1	1	37	8	1	28	2196	0	0	0
0.368	1	1	37	9	1	28	2196	0	0	0
0.369	1	1	37	10	1	28	2196	0	0	0
0.621	1	7	63	2	29	28	549	0	0	0
0.621	1	7	63	2	29	28	549	0	0	1
0.37	1	1	38	1	1	28	2196	0	0	0
0.371	1	1	38	2	1	28	2196	0	0	0
0.622	1	4	63	3	78	28	549	0	0	0
0.622	1	4	63	3	78	28	549	0	0	1
0.372	1	1	38	3	1	28	2196	0	0	0
0.373	1	1	38	4	1	28	2196	0	0	0
0.623	1	9	63	4	39	28	549	0	0	0
0.374	1	1	38	5	1	28	2196	0	0	0
0.623	1	9	63	4	39	28	549	0	0	1
0.375	1	1	38	6	1	28	2196	0	0	0
0.624	1	12	63	5	82	28	549	0	0	0
0.624	1	12	63	5	82	28	549	0	0	1
0.376	1	1	38	7	1	28	2196	0	0	0
0.377	1	1	38	8	1	28	2196	0	0	0
0.378	1	1	38	9	1	28	2196	0	0	0
0.625	1	2	63	6	50	28	549	0	0	0
0.625	1	2	63	6	50	28	549	0	0	1
0.379	1	1	38	10	1	28	2196	0	0	0
0.38	1	1	39	1	1	28	2196	0	0	0
0.626	1	14	63	7	1	28	549	0	0	0
0.626	1	14	63	7	1	28	549	0	0	1
0.381	1	1	39	2	1	28	2196	0	0	0
0.382	1	1	39	3	1	28	2196	0	0	0
0.383	1	1	39	4	1	28	2196	0	0	0
0.627	1	1	63	8	87	28	549	0	0	0
0.627	1	1	63	8	87	28	549	0	0	1
0.384	1	1	39	5	1	28	2196	0	0	0
0.628	1	11	63	9	58	28	549	0	0	0
0.628	1	11	63	9	58	28	549	0	0	1
0.385	1	1	39	6	1	28	2196	0	0	0
0.386	1	1	39	7	1	28	2196	0	0	0
0.387	1	1	39	8	1	28	2196	0	0	0
0.629	1	15	63	10	12	28	549	0	0	0
0.629	1	15	63	10	12	28	549	0	0	1
0.388	1	1	39	9	1	28	2196	0	0	0
0.389	1	1	39	10	1	28	2196	0	0	0
0.63	1	6	64	1	91	28	549	0	0	0
0.63	1	6	64	1	91	28	549	0	0	1
0.39	1	1	40	1	1	28	2196	0	0	0
0.391	1	1	40	2	1	28	2196	0	0	0
0.392	1	1	40	3	1	28	2196	0	0	0
0.393	1	1	40	4	1	28	2196	0	0	0
0.631	1	10	64	2	63	28	549	0	0	0
0.631	1	10	64	2	63	28	549	0	0	1
0.394	1	1	40	5	1	28	2196	0	0	0
0.632	1	5	64	3	20	28	549	0	0	0
0.632	1	5	64	3	20	28	549	0	0	1
0.395	1	1	40	6	1	28	2196	0	0	0
0.396	1	1	40	7	1	28	2196	0	0	0
0.397	1	1	40	8	1	28	2196	0	0	0
0.398	1	1	40	9	1	28	2196	0	0	0
0.633	1	13	64	4	94	28	549	0	0	0
0.633	1	13	64	4	94	28	549	0	0	1
0.399	1	1	40	10	1	28	2196	0	0	0
0.4	1	1	41	1	1	28	2196	0	0	0
0.634	1	3	64	5	96	28	549	0	0	0
0.634	1	3	64	5	96	28	549	0	0	1
0.401	1	1	41	2	1	28	2196	0	0	0
0.402	1	1	41	3	1	28	2196	0	0	0
0.403	1	1	41	4	1	28	2196	0	0	0
0.404	1	1	41	5	1	28	2196	0	0	0
0.405	1	1	41	6	1	28	2196	0	0	0
0.635	1	8	64	6	71	28	549	0	0	0
0.635	1	8	64	6	71	28	549	0	0	1
0.636	1	7	64	7	29	28	549	0	0	0
0.636	1	7	64	7	29	28	549	0	0	1
0.637	1	4	64	8	78	28	549	0	0	0
0.637	1	4	64	8	78	28	549	0	0	1
0.638	1	9	64	9	39	28	549	0	0	0
0.638	1	9	64	9	39	28	549	0	0	1
0.639	1	12	64	10	82	28	549	0	0	0
0.639	1	12	64	10	82	28	549	0	0	1
0.64	1	2	65	1	50	28	549	0	0	0
0.64	1	2	65	1	50	28	549	0	0	1
0.641	1	14	65	2	1	28	549	0	0	0
0.641	1	14	65	2	1	28	549	0	0	1
0.642	1	1	65	3	87	28	549	0	0	0
0.642	1	1	65	3	87	28	549	0	0	1
0.643	1	11	65	4	58	28	549	0	0	0
0.643	1	11	65	4	58	28	549	0	0	1
0.644	1	15	65	5	12	28	549	0	0	0
0.644	1	15	65	5	12	28	549	0	0	1
0.645	1	6	65	6	91	28	549	0	0	0
0.645	1	6	65	6	91	28	549	0	0	1
0.646	1	10	65	7	63	28	549	0	0	0
0.646	1	10	65	7	63	28	549	0	0	1
0.647	1	5	65	8	20	28	549	0	0	0
0.647	1	5	65	8	20	28	549	0	0	1
0.648	1	13	65	9	94	28	549	0	0	0
0.648	1	13	65	9	94	28	549	0	0	1
0.649	1	3	65	10	96	28	549	0	0	0
0.649	1	3	65	10	96	28	549	0	0	1
0.65	1	8	66	1	71	28	549	0	0	0
0.65	1	8	66	1	71	28	549	0	0	1
0.651	1	7	66	2	29	28	549	0	0	0
0.651	1	7	66	2	29	28	549	0	0	1
0.652	1	4	66	3	78	28	549	0	0	0
0.652	1	4	66	3	78	28	549	0	0	1
0.653	1	9	66	4	39	28	549	0	0	0
0.653	1	9	66	4	39	28	549	0	0	1
0.654	1	12	66	5	82	28	549	0	0	0
0.654	1	12	66	5	82	28	549	0	0	1
0.655	1	2	66	6	50	28	549	0	0	0
0.655	1	2	66	6	50	28	549	0	0	1
