% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
267	1	1	1	0	0	81	0	1	0
586	1	15	12	0	28	549	0	1	0
586	2	15	12	0	28	549	0	1	1
587	1	6	91	0	28	549	0	1	0
587	2	6	91	0	28	549	0	1	1
588	1	10	63	0	28	549	0	1	0
588	2	10	63	0	28	549	0	1	1
282	1	1	1	0	28	2196	0	1	0
283	1	1	1	0	28	2196	0	1	0
284	1	1	1	0	28	2196	0	1	0
285	1	1	1	0	28	2196	0	1	0
589	1	5	20	0	28	549	0	1	0
286	1	1	1	0	28	2196	0	1	0
589	2	5	20	0	28	549	0	1	1
287	1	1	1	0	28	2196	0	1	0
288	1	1	1	0	28	2196	0	1	0
289	1	1	1	0	28	2196	0	1	0
590	1	13	94	0	28	549	0	1	0
290	1	1	1	0	28	2196	0	1	0
590	2	13	94	0	28	549	0	1	1
291	1	1	1	0	28	2196	0	1	0
292	1	1	1	0	28	2196	0	1	0
293	1	1	1	0	28	2196	0	1	0
294	1	1	1	0	28	2196	0	1	0
591	1	3	96	0	28	549	0	1	0
295	1	1	1	0	28	2196	0	1	0
591	2	3	96	0	28	549	0	1	1
296	1	1	1	0	28	2196	0	1	0
592	1	8	71	0	28	549	0	1	0
592	2	8	71	0	28	549	0	1	1
297	1	1	1	0	28	2196	0	1	0
298	1	1	1	0	28	2196	0	1	0
299	1	1	1	0	28	2196	0	1	0
593	1	7	29	0	28	549	0	1	0
593	2	7	29	0	28	549	0	1	1
300	1	1	1	0	28	2196	0	1	0
301	1	1	1	0	28	2196	0	1	0
594	1	4	78	0	28	549	0	1	0
594	2	4	78	0	28	549	0	1	1
302	1	1	1	0	28	2196	0	1	0
303	1	1	1	0	28	2196	0	1	0
304	1	1	1	0	28	2196	0	1	0
595	1	9	39	0	28	549	0	1	0
595	2	9	39	0	28	549	0	1	1
305	1	1	1	0	28	2196	0	1	0
306	1	1	1	0	28	2196	0	1	0
596	1	12	82	0	28	549	0	1	0
596	2	12	82	0	28	549	0	1	1
307	1	1	1	0	28	2196	0	1	0
308	1	1	1	0	28	2196	0	1	0
597	1	2	50	0	28	549	0	1	0
597	2	2	50	0	28	549	0	1	1
309	1	1	1	0	28	2196	0	1	0
310	1	1	1	0	28	2196	0	1	0
598	1	14	1	0	28	549	0	1	0
598	2	14	1	0	28	549	0	1	1
311	1	1	1	0	28	2196	0	1	0
312	1	1	1	0	28	2196	0	1	0
313	1	1	1	0	28	2196	0	1	0
599	1	1	87	0	28	549	0	1	0
599	2	1	87	0	28	549	0	1	1
314	1	1	1	0	28	2196	0	1	0
315	1	1	1	0	28	2196	0	1	0
600	1	11	58	0	28	549	0	1	0
600	2	11	58	0	28	549	0	1	1
316	1	1	1	0	28	2196	0	1	0
317	1	1	1	0	28	2196	0	1	0
318	1	1	1	0	28	2196	0	1	0
601	1	15	12	0	28	549	0	1	0
601	2	15	12	0	28	549	0	1	1
319	1	1	1	0	28	2196	0	1	0
320	1	1	1	0	28	2196	0	1	0
602	1	6	91	0	28	549	0	1	0
602	2	6	91	0	28	549	0	1	1
321	1	1	1	0	28	2196	0	1	0
322	1	1	1	0	28	2196	0	1	0
603	1	10	63	0	28	549	0	1	0
603	2	10	63	0	28	549	0	1	1
323	1	1	1	0	28	2196	0	1	0
604	1	5	20	0	28	549	0	1	0
604	2	5	20	0	28	549	0	1	1
324	1	1	1	0	28	2196	0	1	0
325	1	1	1	0	28	2196	0	1	0
326	1	1	1	0	28	2196	0	1	0
605	1	13	94	0	28	549	0	1	0
605	2	13	94	0	28	549	0	1	1
327	1	1	1	0	28	2196	0	1	0
328	1	1	1	0	28	2196	0	1	0
606	1	3	96	0	28	549	0	1	0
606	2	3	96	0	28	549	0	1	1
329	1	1	1	0	28	2196	0	1	0
330	1	1	1	0	28	2196	0	1	0
607	1	8	71	0	28	549	0	1	0
607	2	8	71	0	28	549	0	1	1
331	1	1	1	0	28	2196	0	1	0
332	1	1	1	0	28	2196	0	1	0
608	1	7	29	0	28	549	0	1	0
608	2	7	29	0	28	549	0	1	1
333	1	1	1	0	28	2196	0	1	0
334	1	1	1	0	28	2196	0	1	0
609	1	4	78	0	28	549	0	1	0
335	1	1	1	0	28	2196	0	1	0
609	2	4	78	0	28	549	0	1	1
336	1	1	1	0	28	2196	0	1	0
337	1	1	1	0	28	2196	0	1	0
610	1	9	39	0	28	549	0	1	0
610	2	9	39	0	28	549	0	1	1
338	1	1	1	0	28	2196	0	1	0
339	1	1	1	0	28	2196	0	1	0
340	1	1	1	0	28	2196	0	1	0
341	1	1	1	0	28	2196	0	1	0
611	1	12	82	0	28	549	0	1	0
611	2	12	82	0	28	549	0	1	1
342	1	1	1	0	28	2196	0	1	0
343	1	1	1	0	28	2196	0	1	0
344	1	1	1	0	28	2196	0	1	0
612	1	2	50	0	28	549	0	1	0
612	2	2	50	0	28	549	0	1	1
345	1	1	1	0	28	2196	0	1	0
346	1	1	1	0	28	2196	0	1	0
347	1	1	1	0	28	2196	0	1	0
348	1	1	1	0	28	2196	0	1	0
613	1	14	1	0	28	549	0	1	0
613	2	14	1	0	28	549	0	1	1
349	1	1	1	0	28	2196	0	1	0
350	1	1	1	0	28	2196	0	1	0
614	1	1	87	0	28	549	0	1	0
351	1	1	1	0	28	2196	0	1	0
614	2	1	87	0	28	549	0	1	1
352	1	1	1	0	28	2196	0	1	0
353	1	1	1	0	28	2196	0	1	0
615	1	11	58	0	28	549	0	1	0
354	1	1	1	0	28	2196	0	1	0
615	2	11	58	0	28	549	0	1	1
355	1	1	1	0	28	2196	0	1	0
616	1	15	12	0	28	549	0	1	0
356	1	1	1	0	28	2196	0	1	0
616	2	15	12	0	28	549	0	1	1
357	1	1	1	0	28	2196	0	1	0
358	1	1	1	0	28	2196	0	1	0
617	1	6	91	0	28	549	0	1	0
359	1	1	1	0	28	2196	0	1	0
617	2	6	91	0	28	549	0	1	1
360	1	1	1	0	28	2196	0	1	0
618	1	10	63	0	28	549	0	1	0
361	1	1	1	0	28	2196	0	1	0
618	2	10	63	0	28	549	0	1	1
362	1	1	1	0	28	2196	0	1	0
363	1	1	1	0	28	2196	0	1	0
364	1	1	1	0	28	2196	0	1	0
619	1	5	20	0	28	549	0	1	0
619	2	5	20	0	28	549	0	1	1
365	1	1	1	0	28	2196	0	1	0
366	1	1	1	0	28	2196	0	1	0
620	1	13	94	0	28	549	0	1	0
620	2	13	94	0	28	549	0	1	1
367	1	1	1	0	28	2196	0	1	0
368	1	1	1	0	28	2196	0	1	0
621	1	3	96	0	28	549	0	1	0
369	1	1	1	0	28	2196	0	1	0
621	2	3	96	0	28	549	0	1	1
370	1	1	1	0	28	2196	0	1	0
371	1	1	1	0	28	2196	0	1	0
622	1	8	71	0	28	549	0	1	0
622	2	8	71	0	28	549	0	1	1
372	1	1	1	0	28	2196	0	1	0
373	1	1	1	0	28	2196	0	1	0
623	1	7	29	0	28	549	0	1	0
623	2	7	29	0	28	549	0	1	1
374	1	1	1	0	28	2196	0	1	0
375	1	1	1	0	28	2196	0	1	0
624	1	4	78	0	28	549	0	1	0
624	2	4	78	0	28	549	0	1	1
376	1	1	1	0	28	2196	0	1	0
377	1	1	1	0	28	2196	0	1	0
378	1	1	1	0	28	2196	0	1	0
625	1	9	39	0	28	549	0	1	0
625	2	9	39	0	28	549	0	1	1
379	1	1	1	0	28	2196	0	1	0
380	1	1	1	0	28	2196	0	1	0
626	1	12	82	0	28	549	0	1	0
626	2	12	82	0	28	549	0	1	1
381	1	1	1	0	28	2196	0	1	0
382	1	1	1	0	28	2196	0	1	0
383	1	1	1	0	28	2196	0	1	0
627	1	2	50	0	28	549	0	1	0
627	2	2	50	0	28	549	0	1	1
384	1	1	1	0	28	2196	0	1	0
628	1	14	1	0	28	549	0	1	0
628	2	14	1	0	28	549	0	1	1
385	1	1	1	0	28	2196	0	1	0
386	1	1	1	0	28	2196	0	1	0
387	1	1	1	0	28	2196	0	1	0
629	1	1	87	0	28	549	0	1	0
629	2	1	87	0	28	549	0	1	1
388	1	1	1	0	28	2196	0	1	0
389	1	1	1	0	28	2196	0	1	0
630	1	11	58	0	28	549	0	1	0
630	2	11	58	0	28	549	0	1	1
390	1	1	1	0	28	2196	0	1	0
391	1	1	1	0	28	2196	0	1	0
392	1	1	1	0	28	2196	0	1	0
631	1	15	12	0	28	549	0	1	0
393	1	1	1	0	28	2196	0	1	0
631	2	15	12	0	28	549	0	1	1
394	1	1	1	0	28	2196	0	1	0
632	1	6	91	0	28	549	0	1	0
632	2	6	91	0	28	549	0	1	1
395	1	1	1	0	28	2196	0	1	0
396	1	1	1	0	28	2196	0	1	0
397	1	1	1	0	28	2196	0	1	0
398	1	1	1	0	28	2196	0	1	0
633	1	10	63	0	28	549	0	1	0
633	2	10	63	0	28	549	0	1	1
399	1	1	1	0	28	2196	0	1	0
400	1	1	1	0	28	2196	0	1	0
634	1	5	20	0	28	549	0	1	0
634	2	5	20	0	28	549	0	1	1
401	1	1	1	0	28	2196	0	1	0
402	1	1	1	0	28	2196	0	1	0
403	1	1	1	0	28	2196	0	1	0
404	1	1	1	0	28	2196	0	1	0
405	1	1	1	0	28	2196	0	1	0
406	1	1	1	0	28	2196	0	1	0
407	1	1	1	0	28	2196	0	1	0
635	1	13	94	0	28	549	0	1	0
635	2	13	94	0	28	549	0	1	1
636	1	3	96	0	28	549	0	1	0
636	2	3	96	0	28	549	0	1	1
637	1	8	71	0	28	549	0	1	0
637	2	8	71	0	28	549	0	1	1
638	1	7	29	0	28	549	0	1	0
638	2	7	29	0	28	549	0	1	1
639	1	4	78	0	28	549	0	1	0
639	2	4	78	0	28	549	0	1	1
640	1	9	39	0	28	549	0	1	0
640	2	9	39	0	28	549	0	1	1
641	1	12	82	0	28	549	0	1	0
641	2	12	82	0	28	549	0	1	1
642	1	2	50	0	28	549	0	1	0
642	2	2	50	0	28	549	0	1	1
643	1	14	1	0	28	549	0	1	0
643	2	14	1	0	28	549	0	1	1
644	1	1	87	0	28	549	0	1	0
644	2	1	87	0	28	549	0	1	1
645	1	11	58	0	28	549	0	1	0
645	2	11	58	0	28	549	0	1	1
646	1	15	12	0	28	549	0	1	0
646	2	15	12	0	28	549	0	1	1
647	1	6	91	0	28	549	0	1	0
647	2	6	91	0	28	549	0	1	1
648	1	10	63	0	28	549	0	1	0
648	2	10	63	0	28	549	0	1	1
649	1	5	20	0	28	549	0	1	0
649	2	5	20	0	28	549	0	1	1
650	1	13	94	0	28	549	0	1	0
650	2	13	94	0	28	549	0	1	1
651	1	3	96	0	28	549	0	1	0
651	2	3	96	0	28	549	0	1	1
652	1	8	71	0	28	549	0	1	0
652	2	8	71	0	28	549	0	1	1
653	1	7	29	0	28	549	0	1	0
653	2	7	29	0	28	549	0	1	1
654	1	4	78	0	28	549	0	1	0
654	2	4	78	0	28	549	0	1	1
655	1	9	39	0	28	549	0	1	0
655	2	9	39	0	28	549	0	1	1
656	1	12	82	0	28	549	0	1	0
656	2	12	82	0	28	549	0	1	1
657	1	2	50	0	28	549	0	1	0
657	2	2	50	0	28	549	0	1	1
658	1	14	1	0	28	549	0	1	0
658	2	14	1	0	28	549	0	1	1
659	1	1	87	0	28	549	0	1	0
659	2	1	87	0	28	549	0	1	1
660	1	11	58	0	28	549	0	1	0
660	2	11	58	0	28	549	0	1	1
661	1	15	12	0	28	549	0	1	0
661	2	15	12	0	28	549	0	1	1
662	1	6	91	0	28	549	0	1	0
662	2	6	91	0	28	549	0	1	1
663	1	10	63	0	28	549	0	1	0
663	2	10	63	0	28	549	0	1	1
664	1	5	20	0	28	549	0	1	0
664	2	5	20	0	28	549	0	1	1
665	1	13	94	0	28	549	0	1	0
665	2	13	94	0	28	549	0	1	1
666	1	3	96	0	28	549	0	1	0
666	2	3	96	0	28	549	0	1	1
667	1	8	71	0	28	549	0	1	0
667	2	8	71	0	28	549	0	1	1
668	1	7	29	0	28	549	0	1	0
668	2	7	29	0	28	549	0	1	1
669	1	4	78	0	28	549	0	1	0
669	2	4	78	0	28	549	0	1	1
670	1	9	39	0	28	549	0	1	0
670	2	9	39	0	28	549	0	1	1
671	1	12	82	0	28	549	0	1	0
671	2	12	82	0	28	549	0	1	1
672	1	2	50	0	28	549	0	1	0
672	2	2	50	0	28	549	0	1	1
673	1	14	1	0	28	549	0	1	0
673	2	14	1	0	28	549	0	1	1
674	1	1	87	0	28	549	0	1	0
674	2	1	87	0	28	549	0	1	1
675	1	11	58	0	28	549	0	1	0
675	2	11	58	0	28	549	0	1	1
676	1	15	12	0	28	549	0	1	0
676	2	15	12	0	28	549	0	1	1
677	1	6	91	0	28	549	0	1	0
677	2	6	91	0	28	549	0	1	1
678	1	10	63	0	28	549	0	1	0
678	2	10	63	0	28	549	0	1	1
679	1	5	20	0	28	549	0	1	0
679	2	5	20	0	28	549	0	1	1
680	1	13	94	0	28	549	0	1	0
680	2	13	94	0	28	549	0	1	1
681	1	3	96	0	28	549	0	1	0
681	2	3	96	0	28	549	0	1	1
682	1	8	71	0	28	549	0	1	0
682	2	8	71	0	28	549	0	1	1
683	1	7	29	0	28	549	0	1	0
683	2	7	29	0	28	549	0	1	1
684	1	4	78	0	28	549	0	1	0
684	2	4	78	0	28	549	0	1	1
685	1	9	39	0	28	549	0	1	0
685	2	9	39	0	28	549	0	1	1
686	1	12	82	0	28	549	0	1	0
686	2	12	82	0	28	549	0	1	1
687	1	2	50	0	28	549	0	1	0
687	2	2	50	0	28	549	0	1	1
688	1	14	1	0	28	549	0	1	0
688	2	14	1	0	28	549	0	1	1
689	1	1	87	0	28	549	0	1	0
689	2	1	87	0	28	549	0	1	1
690	1	11	58	0	28	549	0	1	0
690	2	11	58	0	28	549	0	1	1
691	1	15	12	0	28	549	0	1	0
691	2	15	12	0	28	549	0	1	1
692	1	6	91	0	28	549	0	1	0
692	2	6	91	0	28	549	0	1	1
693	1	10	63	0	28	549	0	1	0
693	2	10	63	0	28	549	0	1	1
694	1	5	20	0	28	549	0	1	0
694	2	5	20	0	28	549	0	1	1
695	1	13	94	0	28	549	0	1	0
695	2	13	94	0	28	549	0	1	1
696	1	3	96	0	28	549	0	1	0
696	2	3	96	0	28	549	0	1	1
697	1	8	71	0	28	549	0	1	0
697	2	8	71	0	28	549	0	1	1
698	1	7	29	0	28	549	0	1	0
698	2	7	29	0	28	549	0	1	1
699	1	4	78	0	28	549	0	1	0
699	2	4	78	0	28	549	0	1	1
700	1	9	39	0	28	549	0	1	0
700	2	9	39	0	28	549	0	1	1
701	1	12	82	0	28	549	0	1	0
701	2	12	82	0	28	549	0	1	1
702	1	2	50	0	28	549	0	1	0
702	2	2	50	0	28	549	0	1	1
703	1	14	1	0	28	549	0	1	0
703	2	14	1	0	28	549	0	1	1
704	1	1	87	0	28	549	0	1	0
704	2	1	87	0	28	549	0	1	1
705	1	11	58	0	28	549	0	1	0
705	2	11	58	0	28	549	0	1	1
706	1	15	12	0	28	549	0	1	0
706	2	15	12	0	28	549	0	1	1
707	1	6	91	0	28	549	0	1	0
707	2	6	91	0	28	549	0	1	1
708	1	10	63	0	28	549	0	1	0
708	2	10	63	0	28	549	0	1	1
709	1	5	20	0	28	549	0	1	0
709	2	5	20	0	28	549	0	1	1
710	1	13	94	0	28	549	0	1	0
710	2	13	94	0	28	549	0	1	1
711	1	3	96	0	28	549	0	1	0
711	2	3	96	0	28	549	0	1	1
