% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
279	1	1	1	0	0	85	0	1	0
590	2	6	91	0	20	161	0	1	1
590	2	13	94	0	20	161	0	1	1
591	1	2	50	0	20	161	0	1	0
591	1	11	58	0	20	161	0	1	0
591	2	14	1	0	20	161	0	1	1
591	2	3	96	0	20	161	0	1	1
592	1	8	71	0	20	161	0	1	0
592	1	10	63	0	20	161	0	1	0
592	2	15	12	0	20	161	0	1	1
592	2	5	20	0	20	161	0	1	1
593	1	4	78	0	20	161	0	1	0
593	1	12	82	0	20	161	0	1	0
593	2	7	29	0	20	161	0	1	1
593	2	9	39	0	20	161	0	1	1
594	1	1	87	0	20	161	0	1	0
594	1	6	91	0	20	161	0	1	0
295	1	1	1	0	28	2292	0	1	0
296	1	1	1	0	28	2292	0	1	0
594	2	2	50	0	20	161	0	1	1
594	2	11	58	0	20	161	0	1	1
297	1	1	1	0	28	2292	0	1	0
298	1	1	1	0	28	2292	0	1	0
299	1	1	1	0	28	2292	0	1	0
595	1	3	96	0	20	161	0	1	0
595	1	13	94	0	20	161	0	1	0
595	2	10	63	0	20	161	0	1	1
595	2	8	71	0	20	161	0	1	1
300	1	1	1	0	28	2292	0	1	0
301	1	1	1	0	28	2292	0	1	0
596	1	14	1	0	20	161	0	1	0
596	1	15	12	0	20	161	0	1	0
596	2	4	78	0	20	161	0	1	1
302	1	1	1	0	28	2292	0	1	0
596	2	12	82	0	20	161	0	1	1
303	1	1	1	0	28	2292	0	1	0
597	1	5	20	0	20	161	0	1	0
597	1	7	29	0	20	161	0	1	0
304	1	1	1	0	28	2292	0	1	0
597	2	1	87	0	20	161	0	1	1
597	2	6	91	0	20	161	0	1	1
305	1	1	1	0	28	2292	0	1	0
598	1	2	50	0	20	161	0	1	0
306	1	1	1	0	28	2292	0	1	0
598	1	9	39	0	20	161	0	1	0
307	1	1	1	0	28	2292	0	1	0
598	2	13	94	0	20	161	0	1	1
598	2	3	96	0	20	161	0	1	1
308	1	1	1	0	28	2292	0	1	0
599	1	10	63	0	20	161	0	1	0
599	1	11	58	0	20	161	0	1	0
309	1	1	1	0	28	2292	0	1	0
599	2	14	1	0	20	161	0	1	1
599	2	15	12	0	20	161	0	1	1
310	1	1	1	0	28	2292	0	1	0
600	1	4	78	0	20	161	0	1	0
600	1	8	71	0	20	161	0	1	0
311	1	1	1	0	28	2292	0	1	0
600	2	5	20	0	20	161	0	1	1
600	2	7	29	0	20	161	0	1	1
312	1	1	1	0	28	2292	0	1	0
313	1	1	1	0	28	2292	0	1	0
601	1	1	87	0	20	161	0	1	0
601	1	12	82	0	20	161	0	1	0
601	2	9	39	0	20	161	0	1	1
601	2	2	50	0	20	161	0	1	1
